Jurisdiction,County,SBCAG Region,Year,Prior APN,APN,Street Address,Project Name,Tracking ID,Type,Tenure,Very Low Income (DR) Entitlements,Very Low Income (NDR) Entitlements,Very Low Income Entitlements,Low Income (DR) Entitlements,Low Income (NDR) Entitlements,Low Income Entitlements,Moderate Income (DR) Entitlements,Moderate Income (NDR) Entitlements,Moderate Income Entitlements,Above Moderate Income Entitlements,Total Entitlements,Very Low Income Building Permits (DR),Very Low Income Building Permits (NDR),Very Low Income Building Permits,Low Income (DR) Building Permits,Low Income (NDR) Building Permits,Low Income Building Permits,Moderate Income (DR) Building Permits,Moderate Income (NDR) Building Permits,Moderate Income Building Permits,Above Moderate Income Building Permits,Building Permit Issue Date,Total Number of Building Permits,Very Low Income Cert. of Occupancy (DR),Very Low Income Cert. of Occupancy (NDR),Very Low Income Cert. of Occupancy,Low Income (DR) Cert. of Occupancy,Low Income (NDR) Cert. of Occupancy,Low Income Cert. of Occupancy,Moderate Income (DR) Cert. of Occupancy,Moderate Income (NDR) Cert. of Occupancy,Moderate Income Cert. of Occupancy,Above Moderate Income  Cert. of Occupancy,Cert. of Occupancy Issue Date,Total Number of Units Issued Cert. of Occupancy,Extremely Low Income Units,Contains Extremely Low Income Units,Approved Using SB 35,Infill Units,Project Income Level (Detailed),Project Income Level,Deed Restricted
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-500-022,"5677 KAI CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-18,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,725.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-058,"5639 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-05-24,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,782.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-054,"5648 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,733.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-010,"1155 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,763.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-059,"5635 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-02-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,698.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-062,"5623 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-06-20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,812.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-052,"5636 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-06-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,802.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-017,"1197 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-05-29,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,816.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-018,"1203 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-05-29,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,815.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-057,"5643 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-05-24,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,782.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-011,"1161 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,763.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,105-380-023,"4713 QUARTER HORSE TRAIL, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-02-22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,822.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-013,"1173 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,763.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-053,"5644 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,733.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-015,"1185 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,803.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-024,"5610 KAI CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-04-11,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,746.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-009,"1149 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,766.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-023,"1160 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,815.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-023,"5606 KAI CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-04-25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,777.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-490-051,"5632 GAZANIA CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-06-13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,802.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-500-021,"5681 KAI CT, ORCUTT, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-18,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,714.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-014,"1179 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,769.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,135-240-081,"2455 GRAND AVE, LOS OLIVOS, CA 93441",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-05-31,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,782.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-012,"1167 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,766.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,101-510-024,"1166 GRAND MEADOW WAY, SANTA MARIA, CA 93455",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2019-03-19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"43,808.00",1.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
CARPINTERIA,SANTA BARBARA,South Coast,2019,,004-041-001,1112 Linden Avenue,Phari LLC,19-1983-DP/TPM/CDP,2 to 4 Units per Structure,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
CARPINTERIA,SANTA BARBARA,South Coast,2019,,003-212-030,4925 Carpinteria Avenue,Sanctuary Beach,19-1958-DP/CDP,2 to 4 Units per Structure,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA MARIA,SANTA BARBARA,North County,2019,,117770016,2065 S Blosser Rd,SerraMonte Townhomes,PD2018-0012,Single-Family Attached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA MARIA,SANTA BARBARA,North County,2019,,109010005,Santa Maria Way,Northman Sub Map,PD2018-0013,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA,SANTA BARBARA,South Coast,2019,,043-223-014,"1616 SAN PASCUAL ST, SANTA BARBARA, CA",1616    SAN PASCUAL ST:  R-3-UNIT AUD PROJECT,PLN2018-00598,5+ Units per Structure,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
CARPINTERIA,SANTA BARBARA,South Coast,2019,,003-340-008,650 Concha Loma,Wood Residence,15-1767-CDP,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA,SANTA BARBARA,South Coast,2019,,041-361-002,"223 VIA SEVILLA, SANTA BARBARA, CA",223   VIA SEVILLA:  R/B-ALTERATION-ADU,PLN2019-00081,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
SANTA BARBARA,SANTA BARBARA,South Coast,2019,,025-160-011,"2213 OAK PARK LN, SANTA BARBARA, CA",2213   OAK PARK LN:  MOD - SETBACK,PLN2019-00053,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
SANTA BARBARA,SANTA BARBARA,South Coast,2019,,025-231-006,"2122 BATH ST, SANTA BARBARA, CA","2122 BATH ST: R-ALTERATION, Parking MOD for AUD",PLN2019-00177,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
SANTA BARBARA,SANTA BARBARA,South Coast,2019,,045-061-017,"1130 LAS OLAS AVE, SANTA BARBARA, CA",1130   LAS OLAS AVE:  R/C-ADU-NEW,PLN2019-00045,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,071-041-004,5680 Alondra Dr,Accessory Dwelling Unit,18-160-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,073-192-017,7166 Armstrong,Accessory Dwelling Unit,18-151-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,077-194-009,6268 Aberdeen,Accessory Dwelling Unit,19-040-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,077-153-010,18 Sonoma Avenue,Accessory Dwelling Unit,18-166-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,077-223-011,6276 Newcastle,Accessory Dwelling Unit,18-178-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,069-391-008,925 Via Bolzano,Accessory Dwelling Unit,19-078-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,079-415-012,7439 Bergamo Dr,Accessory Dwelling Unit,19-049-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,079-412-009,45 San Anzio Way,Accessory Dwelling Unit,19-004-ADU,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,069-153-008,5505 Somerset Dr,Accessory Dwelling Unit,19-008-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,077-122-012,7047 Del Norte Dr,Accessory Dwelling Unit,19-056-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,069-142-027,5595 Huntington Dr,Accessory Dwelling Unit,19-019-ADU,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,079-415-020,7487 San Bergamo,Accessory Dwelling Unit,19-033-LUP,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
GOLETA,SANTA BARBARA,South Coast,2019,,077-294-026,555 Carlo Drive,Accessory Dwelling Unit,19-110-ADU,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Not Provided,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2019,,081-240-051,"500 CALLE LIPPAZANA RD, GOLETA, CA 93117",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,135-250-055,"2921 N ONTIVEROS RD, SANTA YNEZ, CA 934609583",,,Accessory Dwelling Unit,Renter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,South Coast,2019,,061-291-027,"691 VIA TREPADORA, SANTA BARBARA, CA",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,Yes,Above Moderate,Above Moderate,No
SANTA BARBARA COUNTY,SANTA BARBARA,North County,2019,,137-070-021,"1685 STILL MEADOW RD, SOLVANG, CA 93463",,,Single-Family Detached Unit,Owner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,No,No,No,Above Moderate,Above Moderate,No
